model,task,field,label,support,predicted_support,f1,accuracy,mcc,precision,recall
claude-opus-5,agoraspeech_criticism_agenda,criticism_or_agenda,criticism,48,50,0.918367346939,0.92,0.840672807477,0.9,0.9375
claude-opus-5,agoraspeech_criticism_agenda,criticism_or_agenda,political agenda,52,50,0.921568627451,0.92,0.840672807477,0.94,0.903846153846
claude-opus-5,ballard_incivility,uncivil,0,88,64,0.828947368421,0.74,0.428255812366,0.984375,0.715909090909
claude-opus-5,ballard_incivility,uncivil,1,12,36,0.458333333333,0.74,0.428255812366,0.305555555556,0.916666666667
claude-opus-5,bestvater_kavanaugh_stance,pro_kavanaugh,0,43,46,0.966292134831,0.97,0.941054474527,0.934782608696,1
claude-opus-5,bestvater_kavanaugh_stance,pro_kavanaugh,1,57,54,0.972972972973,0.97,0.941054474527,1,0.947368421053
claude-opus-5,bestvater_wm_stance,pro_womens_march,0,10,23,0.606060606061,0.87,0.60990218587,0.434782608696,1
claude-opus-5,bestvater_wm_stance,pro_womens_march,1,90,77,0.922155688623,0.87,0.60990218587,1,0.855555555556
claude-opus-5,brandt_gtd_attack_type,attack_type,Assassination,7,12,0.631578947368,0.93,0.622339330386,0.5,0.857142857143
claude-opus-5,brandt_gtd_attack_type,attack_type,Armed Assault,31,36,0.65671641791,0.77,0.488295421948,0.611111111111,0.709677419355
claude-opus-5,brandt_gtd_attack_type,attack_type,Bombing/Explosion,37,39,0.947368421053,0.96,0.915971133656,0.923076923077,0.972972972973
claude-opus-5,brandt_gtd_attack_type,attack_type,Facility/Infrastructure Attack,3,6,0.666666666667,0.97,0.6960862608,0.5,1
claude-opus-5,brandt_gtd_attack_type,attack_type,Hijacking,1,1,1,1,1,1,1
claude-opus-5,brandt_gtd_attack_type,attack_type,Hostage Taking (Barricade Incident),0,0,0,1,,,
claude-opus-5,brandt_gtd_attack_type,attack_type,Hostage Taking (Kidnapping),8,4,0.666666666667,0.96,0.692218655243,1,0.5
claude-opus-5,brandt_gtd_attack_type,attack_type,Unarmed Assault,1,1,1,1,1,1,1
claude-opus-5,brandt_gtd_attack_type,attack_type,Unknown,12,1,0.153846153846,0.89,0.272165526976,1,0.0833333333333
claude-opus-5,brandt_political_relevance,relevant,0,89,78,0.934131736527,0.89,0.661968463895,1,0.876404494382
claude-opus-5,brandt_political_relevance,relevant,1,11,22,0.666666666667,0.89,0.661968463895,0.5,1
claude-opus-5,burnham_covid_threat_minimization,threat_minimizing,0,71,80,0.900662251656,0.85,0.61706349981,0.85,0.957746478873
claude-opus-5,burnham_covid_threat_minimization,threat_minimizing,1,29,20,0.69387755102,0.85,0.61706349981,0.85,0.586206896552
claude-opus-5,burnham_polnli_entailment,entails,0,57,61,0.932203389831,0.92,0.837774247028,0.901639344262,0.964912280702
claude-opus-5,burnham_polnli_entailment,entails,1,43,39,0.90243902439,0.92,0.837774247028,0.948717948718,0.860465116279
claude-opus-5,burnham_polnli_event_entailment,entails,0,53,56,0.97247706422,0.97,0.941285417438,0.946428571429,1
claude-opus-5,burnham_polnli_event_entailment,entails,1,47,44,0.967032967033,0.97,0.941285417438,1,0.936170212766
claude-opus-5,burnham_trump_stance,stance_toward_trump,Oppose,39,40,0.911392405063,0.93,0.853743333618,0.9,0.923076923077
claude-opus-5,burnham_trump_stance,stance_toward_trump,Neutral,23,15,0.631578947368,0.86,0.568986211081,0.8,0.521739130435
claude-opus-5,burnham_trump_stance,stance_toward_trump,Support,38,45,0.867469879518,0.89,0.782684186753,0.8,0.947368421053
claude-opus-5,cap_crs_policy_topic,policy_topic,Macroeconomics,6,5,0.545454545455,0.95,0.521647832705,0.6,0.5
claude-opus-5,cap_crs_policy_topic,policy_topic,Civil Rights,3,2,0.8,0.99,0.81232010044,1,0.666666666667
claude-opus-5,cap_crs_policy_topic,policy_topic,Health,11,10,0.952380952381,0.99,0.948150778616,1,0.909090909091
claude-opus-5,cap_crs_policy_topic,policy_topic,Agriculture,4,3,0.857142857143,0.99,0.861549790341,1,0.75
claude-opus-5,cap_crs_policy_topic,policy_topic,Labor and Immigration,1,1,1,1,1,1,1
claude-opus-5,cap_crs_policy_topic,policy_topic,Education,3,3,1,1,1,1,1
claude-opus-5,cap_crs_policy_topic,policy_topic,Environment,6,4,0.6,0.96,0.593067216599,0.75,0.5
claude-opus-5,cap_crs_policy_topic,policy_topic,Energy,1,1,1,1,1,1,1
claude-opus-5,cap_crs_policy_topic,policy_topic,Immigration,2,2,1,1,1,1,1
claude-opus-5,cap_crs_policy_topic,policy_topic,Transportation,0,1,0,0.99,,0,
claude-opus-5,cap_crs_policy_topic,policy_topic,Law and Crime,5,8,0.615384615385,0.95,0.608859082343,0.5,0.8
claude-opus-5,cap_crs_policy_topic,policy_topic,Social Welfare,2,1,0.666666666667,0.99,0.703526470681,1,0.5
claude-opus-5,cap_crs_policy_topic,policy_topic,Housing,3,3,1,1,1,1,1
claude-opus-5,cap_crs_policy_topic,policy_topic,Domestic Commerce,8,8,0.75,0.96,0.728260869565,0.75,0.75
claude-opus-5,cap_crs_policy_topic,policy_topic,Defense,10,6,0.625,0.94,0.617578075449,0.833333333333,0.5
claude-opus-5,cap_crs_policy_topic,policy_topic,Technology,6,1,0.285714285714,0.95,0.397805427627,1,0.166666666667
claude-opus-5,cap_crs_policy_topic,policy_topic,Foreign Trade,7,12,0.736842105263,0.95,0.742947727747,0.583333333333,1
claude-opus-5,cap_crs_policy_topic,policy_topic,International Affairs,7,9,0.625,0.94,0.598479104365,0.555555555556,0.714285714286
claude-opus-5,cap_crs_policy_topic,policy_topic,Government Operations,15,20,0.8,0.93,0.770154046215,0.7,0.933333333333
claude-opus-5,cap_crs_policy_topic,policy_topic,Public Lands,0,0,0,1,,,
claude-opus-5,cap_crs_policy_topic,policy_topic,Culture,0,0,0,1,,,
claude-opus-5,cap_party_platform_policy_topic,policy_topic,Macroeconomics,9,12,0.666666666667,0.93,0.636572388047,0.583333333333,0.777777777778
claude-opus-5,cap_party_platform_policy_topic,policy_topic,Civil Rights,11,10,0.571428571429,0.91,0.522015597215,0.6,0.545454545455
claude-opus-5,cap_party_platform_policy_topic,policy_topic,Health,5,5,1,1,1,1,1
claude-opus-5,cap_party_platform_policy_topic,policy_topic,Agriculture,8,7,0.8,0.97,0.785903998274,0.857142857143,0.75
claude-opus-5,cap_party_platform_policy_topic,policy_topic,Labor and Immigration,4,5,0.888888888889,0.99,0.889756521003,0.8,1
claude-opus-5,cap_party_platform_policy_topic,policy_topic,Education,10,9,0.842105263158,0.97,0.826980260081,0.888888888889,0.8
claude-opus-5,cap_party_platform_policy_topic,policy_topic,Environment,3,2,0.8,0.99,0.81232010044,1,0.666666666667
claude-opus-5,cap_party_platform_policy_topic,policy_topic,Energy,3,4,0.857142857143,0.99,0.861549790341,0.75,1
claude-opus-5,cap_party_platform_policy_topic,policy_topic,Immigration,0,1,0,0.99,,0,
claude-opus-5,cap_party_platform_policy_topic,policy_topic,Transportation,2,1,0.666666666667,0.99,0.703526470681,1,0.5
claude-opus-5,cap_party_platform_policy_topic,policy_topic,Law and Crime,4,3,0.857142857143,0.99,0.861549790341,1,0.75
claude-opus-5,cap_party_platform_policy_topic,policy_topic,Social Welfare,4,4,0.75,0.98,0.739583333333,0.75,0.75
claude-opus-5,cap_party_platform_policy_topic,policy_topic,Housing,1,0,0,0.99,,,0
claude-opus-5,cap_party_platform_policy_topic,policy_topic,Domestic Commerce,2,3,0.4,0.97,0.393598399182,0.333333333333,0.5
claude-opus-5,cap_party_platform_policy_topic,policy_topic,Defense,7,8,0.933333333333,0.99,0.930371645016,0.875,1
claude-opus-5,cap_party_platform_policy_topic,policy_topic,Technology,4,5,0.888888888889,0.99,0.889756521003,0.8,1
claude-opus-5,cap_party_platform_policy_topic,policy_topic,Foreign Trade,3,5,0.5,0.96,0.497597774256,0.4,0.666666666667
claude-opus-5,cap_party_platform_policy_topic,policy_topic,International Affairs,10,7,0.705882352941,0.95,0.692411258141,0.857142857143,0.6
claude-opus-5,cap_party_platform_policy_topic,policy_topic,Government Operations,5,9,0.714285714286,0.96,0.72949553987,0.555555555556,1
claude-opus-5,cap_party_platform_policy_topic,policy_topic,Public Lands,5,0,0,0.95,,,0
claude-opus-5,cap_party_platform_policy_topic,policy_topic,Culture,0,0,0,1,,,
claude-opus-5,chae_semeval_stance,stance,FAVOR,27,36,0.825396825397,0.89,0.763958647246,0.722222222222,0.962962962963
claude-opus-5,chae_semeval_stance,stance,AGAINST,43,31,0.72972972973,0.8,0.597023555702,0.870967741935,0.627906976744
claude-opus-5,chae_semeval_stance,stance,NONE,30,33,0.793650793651,0.87,0.700765848665,0.757575757576,0.833333333333
