model,task,category,n,headline_f1,accuracy,mcc,accuracy_unit,malformed,malformed_rate,item_ci_low,item_ci_high
claude-opus-5,agoraspeech_criticism_agenda,Claims and relations,100,0.919967987195,0.92,0.840672807477,item,0,0,0.866932543586,0.96975744714
claude-opus-5,ballard_incivility,Relevance and tone,100,0.458333333333,0.74,0.428255812366,item,0,0,0.266578947368,0.631622807018
claude-opus-5,bestvater_kavanaugh_stance,Stance and sentiment,100,0.972972972973,0.97,0.941054474527,item,0,0,0.936936936937,1
claude-opus-5,bestvater_wm_stance,Stance and sentiment,100,0.922155688623,0.87,0.60990218587,item,0,0,0.876543209877,0.960451977401
claude-opus-5,brandt_gtd_attack_type,Events and protest,100,0.715355409189,0.74,0.652715458666,item,0,0,0.410611289463,0.772833619389
claude-opus-5,brandt_political_relevance,Relevance and tone,100,0.666666666667,0.89,0.661968463895,item,0,0,0.444444444444,0.833333333333
claude-opus-5,burnham_covid_threat_minimization,Claims and relations,100,0.69387755102,0.85,0.61706349981,item,0,0,0.523757763975,0.830188679245
claude-opus-5,burnham_polnli_entailment,Claims and relations,100,0.90243902439,0.92,0.837774247028,item,0,0,0.825396825397,0.962962962963
claude-opus-5,burnham_polnli_event_entailment,Claims and relations,100,0.967032967033,0.97,0.941285417438,item,0,0,0.921348314607,1
claude-opus-5,burnham_trump_stance,Stance and sentiment,100,0.80348041065,0.84,0.756462414779,item,0,0,0.707951378737,0.882019151662
claude-opus-5,cap_crs_policy_topic,Policy and topics,100,0.769977001556,0.74,0.721134705007,item,0,0,0.561469841027,0.80849866961
claude-opus-5,cap_party_platform_policy_topic,Policy and topics,100,0.675917476871,0.73,0.713549025635,item,0,0,0.541734443636,0.735178645649
claude-opus-5,chae_semeval_stance,Stance and sentiment,100,0.782925782926,0.78,0.683853383174,item,0,0,0.699748691561,0.859293006386
claude-opus-5,dicocco_manifesto_populism,Claims and relations,100,0.571428571429,0.91,0.543640078935,item,0,0,0.266666666667,0.8
claude-opus-5,douglass_icbe_sentence_event_type,Events and protest,100,0.401724990442,0.47,0.335294203706,item,0,0,0.32255258175,0.474949466182
claude-opus-5,erlich_ati_topics,Policy and topics,100,0.538545568276,0.812857142857,0.459472228313,label_decision,0,0,0.465910762694,0.592591461001
claude-opus-5,gilardi_relevance,Relevance and tone,100,0.935779816514,0.93,0.863589398436,item,0,0,0.880952380952,0.976387108588
claude-opus-5,gilardi_stance,Stance and sentiment,100,0.592592592593,0.66,0.449862940267,item,0,0,0.469501052612,0.702357474379
claude-opus-5,halterman_keith_bfrs,Events and protest,100,0.7394675803,0.74,0.701855066638,item,0,0,0.609393620228,0.818791231868
claude-opus-5,halterman_keith_cmp,Events and protest,100,0.60306384766,0.71,0.611647917732,item,0,0,0.470384587444,0.711659183107
claude-opus-5,haunss_papea_claims,Claims and relations,100,0.648137811413,0.67,0.645474793621,item,0,0,0.409760151668,0.662083761406
claude-opus-5,haunss_papea_fgz_forms,Events and protest,100,0.941859506404,0.96,0.939426529913,item,0,0,0.823079788812,0.992999282468
claude-opus-5,mellon_bes_mii_2024,Policy and topics,100,0.815580019343,0.91,0.896271005015,item,0,0,0.598801298322,0.839060746352
claude-opus-5,muller_fujimura_campaign_policy_area,Policy and topics,100,0.736077811078,0.8,0.763099094966,item,0,0,0.562228959761,0.814124304765
claude-opus-5,ornstein_scotus_sentiment,Stance and sentiment,100,0.528928133695,0.57,0.400143487417,item,0,0,0.416108559896,0.632627168108
claude-opus-5,osnabruegge_cross_domain_topic,Policy and topics,100,0.513943673286,0.56,0.499424665628,item,0,0,0.401310318898,0.596945450965
claude-opus-5,plover_cameo_event,Events and protest,100,0.658490619802,0.74,0.722015316538,item,0,0,0.533064388938,0.726401733479
claude-opus-5,politicause_causal_relation,Claims and relations,100,0.633663366337,0.63,0.45980832954,item,0,0,0.51109929078,0.735849056604
claude-opus-5,rheault_line_of_fire_incivility,Relevance and tone,100,0.615384615385,0.85,0.584350512823,item,0,0,0.411764705882,0.777845528455
claude-opus-5,theocharis_dynamics_incivility,Relevance and tone,100,0.757575757576,0.84,0.638989651702,item,0,0,0.62962962963,0.864214214214
claude-opus-5,toxicity_protests_es,Relevance and tone,100,0.775862068966,0.74,0.578089041429,item,0,0,0.68,0.847471186441
claude-opus-5,twitcivility_impoliteness,Relevance and tone,100,0.555555555556,0.68,0.344584393803,item,0,0,0.40625,0.684951076321
claude-opus-5,wesleyan_creative_ads_2022,Relevance and tone,100,0.759828810427,0.94,0.847102971729,item,0,0,0.599567390238,0.932849131254
claude-sonnet-5,agoraspeech_criticism_agenda,Claims and relations,100,0.914545454545,0.91,0.824154776976,item,1,0.01,0.856989846865,0.96443768997
